cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,44,0,10215968.84,100000005933757100;100000002605308100;100000000917179100;100000004905207100;100000004456564100,"кластер из 44 узлов, явный coordinator (gid=100000005933757100) — вероятный организатор/связка ячеек."
1,65,3,9399820.0,100000004697956100;100000005171642100;100000003509750100;100000006664478100;100000004015047100,"кластер из 65 узлов, 3 seed-клиент(ов), явный coordinator (gid=100000004015047100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000001616816100) — вероятная точка сбора средств, явный distributor (gid=100000008748408100) — вероятная точка раздачи."
2,127,7,18414962.28,100000003016635100;100000005287097100;100000008636603100;100000006518161100;100000008723830100,"кластер из 127 узлов, 7 seed-клиент(ов), явный coordinator (gid=100000003016635100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000008144528100) — вероятная точка сбора средств."
3,41,3,4888834.28,100000007131370100;100000002575080100;100000004820260100;100000004156082100;100000002956898100,"кластер из 41 узлов, 3 seed-клиент(ов), явный coordinator (gid=100000004156082100) — вероятный организатор/связка ячеек."
4,5,0,1138730.0,100000003692843100;100000002371892100;100000007330432100;100000003321895100;100000008430691100,"кластер из 5 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
5,53,1,5947339.0,100000000343175100;100000005873152100;100000008501413100;100000003635170100;100000004388353100,"кластер из 53 узлов, 1 seed-клиент(ов), явный coordinator (gid=100000003115284100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000008730846100) — вероятная точка сбора средств, явный distributor (gid=100000000343175100) — вероятная точка раздачи."
6,7,3,4442461.0,100000003404627100;100000005940652100;100000008637537100;100000001732159100;100000008314203100,"кластер из 7 узлов, 3 seed-клиент(ов), явный coordinator (gid=100000008637537100) — вероятный организатор/связка ячеек."
7,2,1,30000.0,100000003980083100;100000003200071100,"кластер из 2 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
8,275,1,30053707.39,100000006866783100;100000002398779100;100000008477350100;100000008686313100;100000004070318100,"кластер из 275 узлов, 1 seed-клиент(ов), явный coordinator (gid=100000006866783100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000002398779100) — вероятная точка сбора средств."
9,126,0,24907250.33,100000000332284100;100000000331309100;100000003741418100;100000003796063100;100000002433697100,"кластер из 126 узлов, явный coordinator (gid=100000000331309100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000000332284100) — вероятная точка сбора средств."
10,10,0,1727065.0,100000005519998100;100000004336312100;100000003219438100;100000005932987100;100000004856746100,"кластер из 10 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
11,18,0,3422800.0,100000003824464100;100000001822623100;100000008238989100;100000004564736100;100000004991812100,"кластер из 18 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
12,11,0,3784703.0,100000002710570100;100000003594472100;100000002212494100;100000000733940100;100000005042822100,"кластер из 11 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
13,51,1,2950313.0,100000000922570100;100000008680731100;100000004386331100;100000002973903100;100000002679516100,"кластер из 51 узлов, 1 seed-клиент(ов), явный coordinator (gid=100000003265158100) — вероятный организатор/связка ячеек, явный distributor (gid=100000008680731100) — вероятная точка раздачи."
14,6,1,275885.0,100000005807278100;100000007175718100;100000002462183100;100000005056870100;100000005895525100,"кластер из 6 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
15,142,5,19232090.0,100000003299365100;100000001102676100;100000008304139100;100000003946524100;100000003684369100,"кластер из 142 узлов, 5 seed-клиент(ов), явный coordinator (gid=100000008304139100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000003249054100) — вероятная точка сбора средств, явный distributor (gid=100000008165763100) — вероятная точка раздачи."
16,16,0,4463934.85,100000008701256100;100000006444163100;100000000782285100;100000003996562100;100000002578653100,"кластер из 16 узлов, явный coordinator (gid=100000007639767100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000003747133100) — вероятная точка сбора средств."
17,126,0,16339904.0,100000008603629100;100000001857829100;100000007170072100;100000002531406100;100000003880331100,"кластер из 126 узлов, явный coordinator (gid=100000001857829100) — вероятный организатор/связка ячеек, явный distributor (gid=100000006977207100) — вероятная точка раздачи."
18,3,0,627870.0,100000004666651100;100000005664632100;100000008628231100,"кластер из 3 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
19,4,1,1404980.0,100000000785800100;100000002459163100;100000008601794100;100000001872484100,"кластер из 4 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
20,6,1,1615030.0,100000000307908100;100000008659445100;100000008736940100;100000008751429100;100000008193577100,"кластер из 6 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
21,30,0,8045494.0,100000007229557100;100000003097324100;100000001285440100;100000008536546100;100000008468762100,"кластер из 30 узлов, явный consolidator (gid=100000001303311100) — вероятная точка сбора средств."
22,6,0,720900.0,100000006638021100;100000008770483100;100000002794374100;100000008333492100;100000008761219100,"кластер из 6 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
23,6,1,383300.0,100000005363908100;100000004094958100;100000004331458100;100000005546031100;100000005547096100,"кластер из 6 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
24,81,2,10311248.61,100000000031787100;100000007747786100;100000001601320100;100000006972210100;100000003158727100,"кластер из 81 узлов, 2 seed-клиент(ов), явный coordinator (gid=100000006972210100) — вероятный организатор/связка ячеек, явный distributor (gid=100000007747786100) — вероятная точка раздачи."
25,26,14,2289450.0,100000005382566100;100000004403675100;100000003823811100;100000005668605100;100000008516839100,"кластер из 26 узлов, 14 seed-клиент(ов), явный coordinator (gid=100000005382566100) — вероятный организатор/связка ячеек."
26,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"кластер из 3 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
27,4,0,518000.0,100000000629812100;100000003163886100;100000001380107100;100000002205022100,"кластер из 4 узлов, явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
28,2,1,81465.0,100000003865939100;100000005392290100,"кластер из 2 узлов, 1 seed-клиент(ов), явных организаторов не выявлено, вероятно периферийная цепочка/курьеры."
29,106,0,6254194.67,100000000850297100;100000008460102100;100000008379273100;100000005704413100;100000001164648100,"кластер из 106 узлов, явный coordinator (gid=100000005704413100) — вероятный организатор/связка ячеек, явный consolidator (gid=100000007998965100) — вероятная точка сбора средств, явный distributor (gid=100000008460102100) — вероятная точка раздачи."
30,5,2,108007.0,100000008129393100;100000007347733100;100000006562026100;100000006249740100;100000006831291100,"кластер из 5 узлов, 2 seed-клиент(ов), явный coordinator (gid=100000006562026100) — вероятный организатор/связка ячеек."
31,47,3,3938421.0,100000008346837100;100000008733194100;100000000489417100;100000006020215100;100000004004621100,"кластер из 47 узлов, 3 seed-клиент(ов), явный coordinator (gid=100000008346837100) — вероятный организатор/связка ячеек."
