rank,gid,role,priority_score,why
1,100000005910114100,coordinator,0.8672,"связан с 2 seed-клиентами напрямую, betweenness=0.014, точка сочленения сети Кластер 8 (1 seed)  объём входящих 326 144 KZT."
2,100000008346837100,coordinator,0.7766,"связан с 1 seed-клиентами напрямую, betweenness=0.010, точка сочленения сети Кластер 31 (3 seed)  объём входящих 254 359 KZT."
3,100000008603629100,coordinator,0.7726,"связан с 0 seed-клиентами напрямую, betweenness=0.010, точка сочленения сети Кластер 17 (0 seed)  объём входящих 1 817 300 KZT."
4,100000005382566100,coordinator,0.7609,"связан с 6 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 25 (14 seed)  объём входящих 393 066 KZT."
5,100000003016635100,coordinator,0.7535,"связан с 0 seed-клиентами напрямую, betweenness=0.010, точка сочленения сети Кластер 2 (7 seed)  объём входящих 586 981 KZT."
6,100000006866783100,coordinator,0.746,"связан с 0 seed-клиентами напрямую, betweenness=0.009, точка сочленения сети Кластер 8 (1 seed)  объём входящих 838 812 KZT."
7,100000008686313100,coordinator,0.7455,"связан с 1 seed-клиентами напрямую, betweenness=0.006, точка сочленения сети Кластер 8 (1 seed)  объём входящих 1 912 716 KZT."
8,100000004070318100,coordinator,0.7308,"связан с 3 seed-клиентами напрямую, betweenness=0.003, точка сочленения сети Кластер 8 (1 seed)  объём входящих 207 247 KZT."
9,100000008636603100,coordinator,0.7267,"связан с 3 seed-клиентами напрямую, betweenness=0.005 Кластер 2 (7 seed)  объём входящих 35 460 KZT."
10,100000004403675100,coordinator,0.726,"связан с 3 seed-клиентами напрямую, betweenness=0.003, точка сочленения сети Кластер 25 (14 seed)  объём входящих 182 980 KZT."
11,100000008733194100,coordinator,0.7258,"связан с 4 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 31 (3 seed)  объём входящих 251 424 KZT."
12,100000000331309100,coordinator,0.7156,"связан с 0 seed-клиентами напрямую, betweenness=0.006, точка сочленения сети Кластер 9 (0 seed)  объём входящих 984 635 KZT."
13,100000001857829100,coordinator,0.7074,"связан с 0 seed-клиентами напрямую, betweenness=0.006, точка сочленения сети Кластер 17 (0 seed)  объём входящих 888 535 KZT."
14,100000005287097100,coordinator,0.6938,"связан с 2 seed-клиентами напрямую, betweenness=0.003, точка сочленения сети Кластер 2 (7 seed)  объём входящих 127 173 KZT."
15,100000008477350100,coordinator,0.6853,"связан с 0 seed-клиентами напрямую, betweenness=0.005, точка сочленения сети Кластер 8 (1 seed)  объём входящих 610 100 KZT."
16,100000004351795100,coordinator,0.6672,"связан с 2 seed-клиентами напрямую, betweenness=0.002, точка сочленения сети Кластер 8 (1 seed)  объём входящих 118 333 KZT."
17,100000008304139100,coordinator,0.6637,"связан с 2 seed-клиентами напрямую, betweenness=0.002, точка сочленения сети Кластер 15 (5 seed)  объём входящих 189 330 KZT."
18,100000004015047100,coordinator,0.6622,"связан с 3 seed-клиентами напрямую, betweenness=0.000 Кластер 1 (3 seed)  объём входящих 919 104 KZT."
19,100000002957787100,coordinator,0.658,"связан с 0 seed-клиентами напрямую, betweenness=0.005, точка сочленения сети Кластер 8 (1 seed)  объём входящих 84 956 KZT."
20,100000003684369100,coordinator,0.6553,"связан с 1 seed-клиентами напрямую, betweenness=0.002, точка сочленения сети Кластер 15 (5 seed)  объём входящих 3 848 436 KZT."
21,100000004394765100,coordinator,0.6513,"связан с 3 seed-клиентами напрямую, betweenness=0.000 Кластер 2 (7 seed)  объём входящих 603 844 KZT."
22,100000004156082100,coordinator,0.6454,"связан с 1 seed-клиентами напрямую, betweenness=0.003, точка сочленения сети Кластер 3 (3 seed)  объём входящих 377 366 KZT."
23,100000005933757100,coordinator,0.6449,"связан с 0 seed-клиентами напрямую, betweenness=0.004, точка сочленения сети Кластер 0 (0 seed)  объём входящих 1 246 000 KZT."
24,100000006972210100,coordinator,0.6438,"связан с 3 seed-клиентами напрямую, betweenness=0.000 Кластер 24 (2 seed)  объём входящих 488 775 KZT."
25,100000004707703100,coordinator,0.6433,"связан с 3 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 2 (7 seed)  объём входящих 239 300 KZT."
26,100000003880331100,coordinator,0.6333,"связан с 1 seed-клиентами напрямую, betweenness=0.003, точка сочленения сети Кластер 17 (0 seed)  объём входящих 100 000 KZT."
27,100000003823811100,coordinator,0.6068,"связан с 3 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 25 (14 seed)  объём входящих 30 000 KZT."
28,100000003796063100,coordinator,0.6021,"связан с 2 seed-клиентами напрямую, betweenness=0.001, точка сочленения сети Кластер 9 (0 seed)  объём входящих 35 000 KZT."
29,100000008418835100,coordinator,0.5924,"связан с 2 seed-клиентами напрямую, betweenness=0.000, точка сочленения сети Кластер 3 (3 seed)  объём входящих 1 372 000 KZT."
30,100000004847758100,coordinator,0.5901,"связан с 2 seed-клиентами напрямую, betweenness=0.001, точка сочленения сети Кластер 8 (1 seed)  объём входящих 115 171 KZT."
31,100000002398779100,consolidator,0.5873,получает от 13 разных плательщиков (1 095 690 KZT)  отдаёт дальше 6% полученного Кластер 8 (1 seed)  объём входящих 1 095 690 KZT.
