rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.9940251695452551,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 3,848,436/8,588,655 KZT. входящие seed могут быть неполными. Приоритет 0.994 (in_deg 1.00, in_kzt 1.00, seed reach 0.99, betweenness 0.99, out_deg 0.99)."
2,100000008603629100,coordinator,0.97956829177385,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 1,817,300/4,986,156 KZT. Приоритет 0.980 (in_deg 1.00, in_kzt 0.99, seed reach 0.93, betweenness 0.99, out_deg 0.99)."
3,100000000437046100,coordinator,0.9738598202827985,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 1,107,200/7,606,224 KZT. Приоритет 0.974 (in_deg 1.00, in_kzt 0.98, seed reach 0.93, betweenness 0.97, out_deg 0.99)."
4,100000000331309100,coordinator,0.9701424597064614,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 984,635/23,001,375 KZT. Приоритет 0.970 (in_deg 0.98, in_kzt 0.97, seed reach 0.93, betweenness 0.98, out_deg 1.00)."
5,100000008165763100,distributor,0.967153130524203,"distributor: distributor: веер на 17 получателей; in/out 1,165,815/1,267,858 KZT. Приоритет 0.967 (in_deg 1.00, in_kzt 0.98, seed reach 0.99, betweenness 0.88, out_deg 0.95)."
6,100000008346837100,coordinator,0.957644717069901,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 254,359/1,258,643 KZT. Приоритет 0.958 (in_deg 1.00, in_kzt 0.83, seed reach 0.99, betweenness 1.00, out_deg 0.97)."
7,100000006866783100,coordinator,0.9536234929727708,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 838,812/3,948,037 KZT. входящие seed могут быть неполными. Приоритет 0.954 (in_deg 1.00, in_kzt 0.97, seed reach 0.82, betweenness 0.99, out_deg 0.99)."
8,100000003016635100,coordinator,0.948856876758355,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 586,981/9,414,081 KZT. входящие seed могут быть неполными. Приоритет 0.949 (in_deg 0.99, in_kzt 0.94, seed reach 0.82, betweenness 1.00, out_deg 0.99)."
9,100000001530983100,coordinator,0.9472202320935643,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 564,158/1,829,538 KZT. Приоритет 0.947 (in_deg 0.97, in_kzt 0.94, seed reach 0.97, betweenness 0.91, out_deg 0.92)."
10,100000007908818100,consolidator,0.9426234604009006,"consolidator: consolidator: получает от 4 плательщиков; in/out 727,475/302,000 KZT. Приоритет 0.943 (in_deg 0.97, in_kzt 0.96, seed reach 0.99, betweenness 0.88, out_deg 0.86)."
11,100000005074393100,consolidator,0.9407644374325074,"consolidator: consolidator: получает от 4 плательщиков; in/out 563,026/685,500 KZT. Приоритет 0.941 (in_deg 0.97, in_kzt 0.94, seed reach 0.99, betweenness 0.91, out_deg 0.86)."
12,100000004156082100,coordinator,0.940746691958877,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 377,366/2,319,556 KZT. Приоритет 0.941 (in_deg 0.98, in_kzt 0.89, seed reach 0.93, betweenness 0.92, out_deg 0.97)."
13,100000008477350100,coordinator,0.9397980425007011,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 610,100/3,374,866 KZT. Приоритет 0.940 (in_deg 1.00, in_kzt 0.95, seed reach 0.82, betweenness 0.93, out_deg 0.99)."
14,100000001857829100,coordinator,0.9385518024221283,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 888,535/2,390,993 KZT. Приоритет 0.939 (in_deg 0.99, in_kzt 0.97, seed reach 0.82, betweenness 0.95, out_deg 0.95)."
15,100000005910114100,coordinator,0.9319199535798868,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 326,144/1,469,993 KZT. Приоритет 0.932 (in_deg 0.93, in_kzt 0.87, seed reach 0.93, betweenness 1.00, out_deg 0.96)."
16,100000007442518100,consolidator,0.931546657805914,"consolidator: consolidator: получает от 5 плательщиков; in/out 510,000/4,419,999 KZT. Приоритет 0.932 (in_deg 0.98, in_kzt 0.93, seed reach 0.93, betweenness 0.87, out_deg 0.90)."
17,100000000343175100,coordinator,0.9272808969491285,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 178,712/4,000,039 KZT. входящие seed могут быть неполными. Приоритет 0.927 (in_deg 0.99, in_kzt 0.76, seed reach 0.93, betweenness 0.97, out_deg 0.98)."
18,100000008686313100,consolidator,0.9194835728337917,"consolidator: consolidator: получает от 6 плательщиков; in/out 1,912,716/333,800 KZT. Приоритет 0.919 (in_deg 0.99, in_kzt 0.99, seed reach 0.82, betweenness 0.87, out_deg 0.88)."
19,100000003242289100,coordinator,0.9177771078080045,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 550,791/2,377,741 KZT. Приоритет 0.918 (in_deg 0.93, in_kzt 0.94, seed reach 0.82, betweenness 0.95, out_deg 0.97)."
20,100000008710791100,coordinator,0.91248861940009,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 181,510/5,521,511 KZT. Приоритет 0.912 (in_deg 0.93, in_kzt 0.76, seed reach 0.97, betweenness 0.93, out_deg 0.97)."
21,100000008547948100,coordinator,0.9092603295757502,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 212,665/5,185,600 KZT. Приоритет 0.909 (in_deg 0.99, in_kzt 0.80, seed reach 0.82, betweenness 0.96, out_deg 0.97)."
22,100000005933757100,coordinator,0.9073235504513544,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 1,246,000/3,002,628 KZT. Приоритет 0.907 (in_deg 0.97, in_kzt 0.98, seed reach 0.64, betweenness 0.97, out_deg 0.98)."
23,100000003115284100,consolidator,0.9052518619734451,"consolidator: consolidator: получает от 8 плательщиков; in/out 2,160,500/517,000 KZT. Приоритет 0.905 (in_deg 0.99, in_kzt 0.99, seed reach 1.00, betweenness 0.83, out_deg 0.56)."
24,100000008733194100,consolidator,0.9036942594931943,"consolidator: consolidator: получает от 4 плательщиков; in/out 251,424/159,695 KZT. Приоритет 0.904 (in_deg 0.97, in_kzt 0.83, seed reach 0.93, betweenness 0.85, out_deg 0.89)."
25,100000008489922100,coordinator,0.8985035915364152,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 262,010/3,789,900 KZT. Приоритет 0.899 (in_deg 0.93, in_kzt 0.83, seed reach 0.82, betweenness 0.94, out_deg 0.98)."
26,100000008743913100,distributor,0.8964555629330871,"distributor: distributor: веер на 13 получателей; in/out 149,300/1,850,600 KZT. Приоритет 0.896 (in_deg 0.93, in_kzt 0.73, seed reach 0.99, betweenness 0.89, out_deg 0.93)."
27,100000002741024100,consolidator,0.8929962618550766,"consolidator: consolidator: получает от 5 плательщиков; in/out 817,981/434,989 KZT. Приоритет 0.893 (in_deg 0.98, in_kzt 0.97, seed reach 0.82, betweenness 0.76, out_deg 0.86)."
28,100000002957787100,coordinator,0.887781359970836,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 84,956/1,276,154 KZT. Приоритет 0.888 (in_deg 0.97, in_kzt 0.61, seed reach 0.93, betweenness 0.95, out_deg 0.98)."
29,100000008547844100,coordinator,0.8865017255339431,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 177,600/2,042,199 KZT. Приоритет 0.887 (in_deg 0.93, in_kzt 0.76, seed reach 0.82, betweenness 0.98, out_deg 0.96)."
30,100000003701161100,consolidator,0.8855481713197925,"consolidator: consolidator: получает от 4 плательщиков; in/out 1,527,103/349,000 KZT. Приоритет 0.886 (in_deg 0.97, in_kzt 0.99, seed reach 0.82, betweenness 0.85, out_deg 0.71)."
31,100000008731444100,consolidator,0.8841653547471595,"consolidator: consolidator: получает от 3 плательщиков; in/out 439,000/879,768 KZT. Приоритет 0.884 (in_deg 0.93, in_kzt 0.91, seed reach 0.82, betweenness 0.82, out_deg 0.90)."
32,100000003635170100,consolidator,0.8834538491223578,"consolidator: consolidator: получает от 3 плательщиков; in/out 268,500/253,500 KZT. Приоритет 0.883 (in_deg 0.93, in_kzt 0.84, seed reach 0.97, betweenness 0.82, out_deg 0.79)."
33,100000004997515100,consolidator,0.8830336512430563,"consolidator: consolidator: получает от 4 плательщиков; in/out 395,000/54,500 KZT. Приоритет 0.883 (in_deg 0.97, in_kzt 0.89, seed reach 0.97, betweenness 0.68, out_deg 0.79)."
34,100000004400305100,coordinator,0.8803248719830111,"coordinator: coordinator: достижим от нескольких seed и связывает сообщества; in/out 222,800/5,830,181 KZT. Приоритет 0.880 (in_deg 0.99, in_kzt 0.81, seed reach 0.64, betweenness 0.97, out_deg 1.00)."
35,100000005782781100,distributor,0.8796664652722359,"distributor: distributor: веер на 10 получателей; in/out 171,888/1,263,597 KZT. Приоритет 0.880 (in_deg 0.99, in_kzt 0.76, seed reach 0.82, betweenness 0.88, out_deg 0.91)."
36,100000001899164100,consolidator,0.8754656922145703,"consolidator: consolidator: получает от 4 плательщиков; in/out 291,675/76,500 KZT. Приоритет 0.875 (in_deg 0.97, in_kzt 0.85, seed reach 0.97, betweenness 0.76, out_deg 0.71)."
